Nombre,Creado,Etiquetas
AS - IS: Gerencia Hotelera,10 de marzo de 2026 10:32,
AS - IS: Talento Humano,17 de marzo de 2026 10:31,
AS - IS: Administración y Finanzas (CCS),17 de marzo de 2026 11:54,
AS - IS: Compras y almacén,17 de marzo de 2026 12:24,
AS - IS: Asesor Legal,17 de marzo de 2026 12:51,
AS - IS: Asesor Contraloria,17 de marzo de 2026 12:51,
AS - IS: Administración y Finanzas (HOTEL-Libny),18 de marzo de 2026 9:50,
AS - IS: Operaciones,24 de marzo de 2026 13:20,
AS - IS: Administración y Finanzas (HOTEL-Juan),26 de marzo de 2026 16:04,
AS - IS: Inventario: A y B (Cocina),30 de marzo de 2026 9:36,
AS - IS: Inventario: A y B (Bar),30 de marzo de 2026 9:45,
AS - IS: Inventario: A y B (CAJA),30 de marzo de 2026 9:50,
