Nombre,Creado,Etiquetas
Inventario: Talento Humano,17 de marzo de 2026 10:55,
Inventario: Administración y Finanzas (CCS),17 de marzo de 2026 11:42,
Inventario: Compras y almacén,17 de marzo de 2026 12:29,
Inventario: Asesor Legal,17 de marzo de 2026 12:52,
Inventario: Asesor de contraloria,17 de marzo de 2026 12:52,
Inventario: Gerencia Hotelera,17 de marzo de 2026 13:10,
Inventario: Administración y Finanzas (HOTEL-Libny),18 de marzo de 2026 11:30,
Inventario: Operaciones,24 de marzo de 2026 13:10,
Inventario: A y B (Cocina),24 de marzo de 2026 16:21,
Inventario: A y B (Bar),24 de marzo de 2026 16:22,
Inventario: A y B (Caja),24 de marzo de 2026 16:22,
Inventario: Administración y Finanzas (HOTEL-Juan),26 de marzo de 2026 16:00,
